Employee Name,Rel,D.O.B.,Sex,Home Zip,Office,Hire Dt,Medical Cov,Dental Y/N,Job Title,Annual Salary
"Guerrero, Eric",Employee,1989-03-23,M,75070,McKinney,7/17/2018,Emp + Spouse,Y,Office Manager,"$50,000"
"Guerrero, Monica",Spouse,2/24/1988,F,75070,,,,,,
"Hampton, Amber",Employee,01-11-80,F,76201,Denton,9/15/2019,EE,Y,Office Manager,"$59,000"
"Irving, Aaron",Employee,10/10/1970,M,75034,Frisco,9/3/2013,Employee Only,Y,Dental Hygienist,"$43,000"
"Jacobs, Tiffany",Employee,1987-05-02,F,75070,McKinney,3/9/2024,Employee Only,Y,Sterilization Tech,"$65,000"
"Kendrick, Adam",Employee,07-05-87,M,76201,Denton,9/17/2021,Emp + Child(ren),Y,Billing Specialist,"$58,000"
"Kendrick, Grace",Child,7/3/2020,F,76201,,,,,,
"Lozano, Crystal",Employee,1/21/1986,F,75034,Frisco,2/26/2016,EE,Y,Associate Dentist,"$92,000"
"Monroe, Nathan",Employee,1989-02-09,M,75070,McKinney,2/15/2012,Emp + Spouse,Y,Associate Dentist,"$64,000"
"Monroe, Monica",Spouse,1/17/1991,F,75070,,,,,,
"Mendoza, Amanda",Employee,10/13/1990,F,75034,Frisco,3/21/2016,WAIVED,N,Associate Dentist,"$61,000"
